Anki Word,In Common List?
ม่วน,False
กลางคืน,True
สำนักงาน,True
เสื้อยืด,True
ขีดล่าง,False
คำถาม,True
คำตอบ,True
งานอดิเรก,False
พ.ศ.,False
พุทธศักราช,False
พิพิธภัณฑ์,True
มะตูม,False
หลังคา,True
ผนัง,False
พระราชวัง,True
ม้านั่ง,True
พระอาทิตย์ขึ้น,False
พระอาทิตย์ตก,True
เมฆ,False
การประชุม,True
ธนาคาร,True
พวก,False
จด,False
ถ้วย,True
พื้น,True
งานเลี้ยง,False
อบอุ่น,True
ศูนย์การประชุมแห่งชาติสิริกิติ์,False
แห่งชาติ,False
น้ำช่อดอกมะพร้าว,False
ชานชาลา,False
เกี่ยวกับยิว,False
ผู้โดยสาร,True
กล้อง,True
ภาพวาด,False
เข็มขัด,True
อนุสาวรีย์,True
ชัย,False
สมรภูมิ,False
เครื่องซักผ้า,False
เตารีด,False
ฉลาม,True
ปลาวาฬ,False
โลมา,False
แกะ,True
แปรงสีฟัน,False
ยาสีฟัน,False
โคมไฟ,True
กุญแจ,True
เปรียบเทียบ,True
ห้องสมุด,True
สมุดแผนที่,False
ถุงมือ,True
กระเป๋าเดินทาง,False
ข้าม,True
ทางข้ามถนน,False
สะพานข้ามแม่น้ำแคว,False
น้ำมัน,True
น้ำมันหมู,False
น้ำมันพืช,False
แม่น้ำ,True
หนังสือเดินทาง,False
สนาม,True
นักหนา,False
อาชีพ,True
สิงโต,True
กวาง,True
มหาสมุทร,True
น่าเกลียด,True
แมลงปอ,False
วิศวกร,True
นักบิน,True
นัก,False
นักแปล,False
นักข่าว,True
หมายเลข,False
นักเต้น,True
นักร้อง,True
นักแสดง,True
ตายาย,False
วันแม่แห่งชาติ,False
เหรียญ,True
บัตรเครดิต,False
ผสม,True
ชาวบ้าน,False
ปอก,True
หั่น,False
สับ,True
ซอย,True
ทุบ,False
บุบ,False
ตำ,False
ขูด,False
คั้น,False
เด็ด,False
คั่ว,False
ปรุง,False
ชิม,False
คน,True
แช่,False
กรอง,True
หยิบ,True
